,Country,Year,Sex,Age,Suicides_no,Population,Suicides/100k_pop,Country-year,Hdi_for_year,Gdp_for_year($),Gdp_per_capita($),Generation,num_gen_column
27,Albania,1989,male,55-74 years,6,142100,4.22,Albania1989,,"2,335,124,988",833,G.I. Generation,1
28,Albania,1989,male,15-24 years,12,323500,3.71,Albania1989,,"2,335,124,988",833,Generation X,1
29,Albania,1989,female,35-54 years,7,288600,2.43,Albania1989,,"2,335,124,988",833,Silent,0
30,Albania,1989,female,15-24 years,5,299900,1.67,Albania1989,,"2,335,124,988",833,Generation X,0
31,Albania,1989,female,25-34 years,2,266300,0.75,Albania1989,,"2,335,124,988",833,Boomers,0
32,Albania,1989,female,55-74 years,1,149600,0.67,Albania1989,,"2,335,124,988",833,G.I. Generation,0
33,Albania,1989,female,5-14 years,0,321900,0.0,Albania1989,,"2,335,124,988",833,Generation X,0
34,Albania,1989,female,75+ years,0,37000,0.0,Albania1989,,"2,335,124,988",833,G.I. Generation,0
35,Albania,1989,male,5-14 years,0,349700,0.0,Albania1989,,"2,335,124,988",833,Generation X,1
36,Albania,1992,male,35-54 years,12,343800,3.49,Albania1992,,"709,452,584",251,Boomers,1
37,Albania,1992,male,15-24 years,9,263700,3.41,Albania1992,,"709,452,584",251,Generation X,1
38,Albania,1992,male,55-74 years,5,159500,3.13,Albania1992,,"709,452,584",251,Silent,1
39,Albania,1992,male,25-34 years,7,245500,2.85,Albania1992,,"709,452,584",251,Boomers,1
40,Albania,1992,female,15-24 years,7,292400,2.39,Albania1992,,"709,452,584",251,Generation X,0
41,Albania,1992,female,25-34 years,4,267400,1.5,Albania1992,,"709,452,584",251,Boomers,0
42,Albania,1992,female,35-54 years,2,323100,0.62,Albania1992,,"709,452,584",251,Boomers,0
43,Albania,1992,female,55-74 years,1,164900,0.61,Albania1992,,"709,452,584",251,Silent,0
44,Albania,1992,female,5-14 years,0,336700,0.0,Albania1992,,"709,452,584",251,Millenials,0
45,Albania,1992,female,75+ years,0,38700,0.0,Albania1992,,"709,452,584",251,G.I. Generation,0
46,Albania,1992,male,5-14 years,0,362900,0.0,Albania1992,,"709,452,584",251,Millenials,1
47,Albania,1992,male,75+ years,0,23900,0.0,Albania1992,,"709,452,584",251,G.I. Generation,1
48,Albania,1993,male,15-24 years,18,243300,7.4,Albania1993,,"1,228,071,038",437,Generation X,1
49,Albania,1993,male,55-74 years,7,165000,4.24,Albania1993,,"1,228,071,038",437,Silent,1
50,Albania,1993,male,75+ years,1,24200,4.13,Albania1993,,"1,228,071,038",437,G.I. Generation,1
51,Albania,1993,male,25-34 years,9,230100,3.91,Albania1993,,"1,228,071,038",437,Boomers,1
52,Albania,1993,female,15-24 years,10,285300,3.51,Albania1993,,"1,228,071,038",437,Generation X,0
53,Albania,1993,male,35-54 years,10,350300,2.85,Albania1993,,"1,228,071,038",437,Boomers,1
54,Albania,1993,female,25-34 years,7,261800,2.67,Albania1993,,"1,228,071,038",437,Boomers,0
55,Albania,1993,female,35-54 years,7,331200,2.11,Albania1993,,"1,228,071,038",437,Boomers,0
56,Albania,1993,female,55-74 years,2,169500,1.18,Albania1993,,"1,228,071,038",437,Silent,0
57,Albania,1993,female,5-14 years,1,340300,0.29,Albania1993,,"1,228,071,038",437,Millenials,0
58,Albania,1993,male,5-14 years,1,367000,0.27,Albania1993,,"1,228,071,038",437,Millenials,1
59,Albania,1993,female,75+ years,0,39300,0.0,Albania1993,,"1,228,071,038",437,G.I. Generation,0
60,Albania,1994,male,75+ years,2,24600,8.13,Albania1994,,"1,985,673,798",697,G.I. Generation,1
61,Albania,1994,male,55-74 years,11,171400,6.42,Albania1994,,"1,985,673,798",697,Silent,1
62,Albania,1994,female,75+ years,2,39900,5.01,Albania1994,,"1,985,673,798",697,G.I. Generation,0
63,Albania,1994,male,25-34 years,6,231400,2.59,Albania1994,,"1,985,673,798",697,Boomers,1
64,Albania,1994,male,35-54 years,9,362800,2.48,Albania1994,,"1,985,673,798",697,Boomers,1
65,Albania,1994,male,15-24 years,6,242200,2.48,Albania1994,,"1,985,673,798",697,Generation X,1
66,Albania,1994,female,15-24 years,6,282600,2.12,Albania1994,,"1,985,673,798",697,Generation X,0
67,Albania,1994,female,25-34 years,4,261100,1.53,Albania1994,,"1,985,673,798",697,Boomers,0
68,Albania,1994,female,35-54 years,2,342500,0.58,Albania1994,,"1,985,673,798",697,Boomers,0
69,Albania,1994,female,55-74 years,1,174600,0.57,Albania1994,,"1,985,673,798",697,Silent,0
70,Albania,1994,male,5-14 years,1,371800,0.27,Albania1994,,"1,985,673,798",697,Millenials,1
71,Albania,1994,female,5-14 years,0,344400,0.0,Albania1994,,"1,985,673,798",697,Millenials,0
72,Albania,1995,male,25-34 years,13,232900,5.58,Albania1995,0.619,"2,424,499,009",835,Generation X,1
73,Albania,1995,male,55-74 years,9,178000,5.06,Albania1995,0.619,"2,424,499,009",835,Silent,1
74,Albania,1995,female,75+ years,2,40800,4.9,Albania1995,0.619,"2,424,499,009",835,G.I. Generation,0
75,Albania,1995,female,15-24 years,13,283500,4.59,Albania1995,0.619,"2,424,499,009",835,Generation X,0
76,Albania,1995,male,15-24 years,11,241200,4.56,Albania1995,0.619,"2,424,499,009",835,Generation X,1
77,Albania,1995,male,75+ years,1,25100,3.98,Albania1995,0.619,"2,424,499,009",835,G.I. Generation,1
78,Albania,1995,male,35-54 years,14,375900,3.72,Albania1995,0.619,"2,424,499,009",835,Boomers,1
79,Albania,1995,female,25-34 years,7,264000,2.65,Albania1995,0.619,"2,424,499,009",835,Generation X,0
80,Albania,1995,female,35-54 years,8,356400,2.24,Albania1995,0.619,"2,424,499,009",835,Boomers,0
81,Albania,1995,male,5-14 years,6,376500,1.59,Albania1995,0.619,"2,424,499,009",835,Millenials,1
82,Albania,1995,female,55-74 years,2,180400,1.11,Albania1995,0.619,"2,424,499,009",835,Silent,0
83,Albania,1995,female,5-14 years,2,348700,0.57,Albania1995,0.619,"2,424,499,009",835,Millenials,0
84,Albania,1996,male,75+ years,2,25400,7.87,Albania1996,,"3,314,898,292",1127,G.I. Generation,1
85,Albania,1996,male,15-24 years,17,243600,6.98,Albania1996,,"3,314,898,292",1127,Generation X,1
86,Albania,1996,male,25-34 years,14,235300,5.95,Albania1996,,"3,314,898,292",1127,Generation X,1
87,Albania,1996,female,15-24 years,16,287700,5.56,Albania1996,,"3,314,898,292",1127,Generation X,0
88,Albania,1996,female,75+ years,2,41200,4.85,Albania1996,,"3,314,898,292",1127,G.I. Generation,0
89,Albania,1996,female,25-34 years,10,267900,3.73,Albania1996,,"3,314,898,292",1127,Generation X,0
90,Albania,1996,male,35-54 years,12,379600,3.16,Albania1996,,"3,314,898,292",1127,Boomers,1
91,Albania,1996,female,35-54 years,9,362000,2.49,Albania1996,,"3,314,898,292",1127,Boomers,0
92,Albania,1996,male,55-74 years,3,179900,1.67,Albania1996,,"3,314,898,292",1127,Silent,1
93,Albania,1996,female,55-74 years,1,183100,0.55,Albania1996,,"3,314,898,292",1127,Silent,0
94,Albania,1996,male,5-14 years,2,380400,0.53,Albania1996,,"3,314,898,292",1127,Millenials,1
95,Albania,1996,female,5-14 years,1,354100,0.28,Albania1996,,"3,314,898,292",1127,Millenials,0
96,Albania,1997,male,25-34 years,36,236000,15.25,Albania1997,,"2,359,903,108",793,Generation X,1
97,Albania,1997,male,15-24 years,33,244400,13.5,Albania1997,,"2,359,903,108",793,Generation X,1
98,Albania,1997,male,75+ years,3,25400,11.81,Albania1997,,"2,359,903,108",793,G.I. Generation,1
99,Albania,1997,male,35-54 years,30,380800,7.88,Albania1997,,"2,359,903,108",793,Boomers,1
100,Albania,1997,female,15-24 years,21,294000,7.14,Albania1997,,"2,359,903,108",793,Generation X,0
101,Albania,1997,male,55-74 years,12,180300,6.66,Albania1997,,"2,359,903,108",793,Silent,1
102,Albania,1997,female,25-34 years,16,273900,5.84,Albania1997,,"2,359,903,108",793,Generation X,0
103,Albania,1997,female,75+ years,2,42100,4.75,Albania1997,,"2,359,903,108",793,G.I. Generation,0
104,Albania,1997,female,35-54 years,7,370100,1.89,Albania1997,,"2,359,903,108",793,Boomers,0
105,Albania,1997,female,5-14 years,6,361800,1.66,Albania1997,,"2,359,903,108",793,Millenials,0
106,Albania,1997,male,5-14 years,4,381500,1.05,Albania1997,,"2,359,903,108",793,Millenials,1
107,Albania,1997,female,55-74 years,0,187000,0.0,Albania1997,,"2,359,903,108",793,Silent,0
108,Albania,1998,male,75+ years,3,25800,11.63,Albania1998,,"2,707,123,772",899,G.I. Generation,1
109,Albania,1998,male,15-24 years,27,248800,10.85,Albania1998,,"2,707,123,772",899,Generation X,1
110,Albania,1998,female,15-24 years,32,295600,10.83,Albania1998,,"2,707,123,772",899,Generation X,0
111,Albania,1998,male,25-34 years,26,240400,10.82,Albania1998,,"2,707,123,772",899,Generation X,1
112,Albania,1998,male,35-54 years,29,388200,7.47,Albania1998,,"2,707,123,772",899,Boomers,1
113,Albania,1998,male,55-74 years,9,183800,4.9,Albania1998,,"2,707,123,772",899,Silent,1
114,Albania,1998,female,25-34 years,10,275300,3.63,Albania1998,,"2,707,123,772",899,Generation X,0
115,Albania,1998,female,55-74 years,6,188200,3.19,Albania1998,,"2,707,123,772",899,Silent,0
116,Albania,1998,female,35-54 years,9,372100,2.42,Albania1998,,"2,707,123,772",899,Boomers,0
117,Albania,1998,male,5-14 years,2,388400,0.51,Albania1998,,"2,707,123,772",899,Millenials,1
118,Albania,1998,female,5-14 years,1,363800,0.27,Albania1998,,"2,707,123,772",899,Millenials,0
119,Albania,1998,female,75+ years,0,42300,0.0,Albania1998,,"2,707,123,772",899,G.I. Generation,0
120,Albania,1999,male,75+ years,3,25900,11.58,Albania1999,,"3,414,760,915",1127,G.I. Generation,1
121,Albania,1999,male,15-24 years,24,250600,9.58,Albania1999,,"3,414,760,915",1127,Generation X,1
122,Albania,1999,female,75+ years,4,42400,9.43,Albania1999,,"3,414,760,915",1127,G.I. Generation,0
123,Albania,1999,male,35-54 years,31,391100,7.93,Albania1999,,"3,414,760,915",1127,Boomers,1
124,Albania,1999,male,25-34 years,19,242300,7.84,Albania1999,,"3,414,760,915",1127,Generation X,1
125,Albania,1999,male,55-74 years,14,185200,7.56,Albania1999,,"3,414,760,915",1127,Silent,1
126,Albania,1999,female,15-24 years,19,296800,6.4,Albania1999,,"3,414,760,915",1127,Generation X,0
127,Albania,1999,female,25-34 years,13,276500,4.7,Albania1999,,"3,414,760,915",1127,Generation X,0
128,Albania,1999,female,55-74 years,6,188800,3.18,Albania1999,,"3,414,760,915",1127,Silent,0
129,Albania,1999,female,35-54 years,5,373600,1.34,Albania1999,,"3,414,760,915",1127,Boomers,0
130,Albania,1999,female,5-14 years,1,365200,0.27,Albania1999,,"3,414,760,915",1127,Millenials,0
131,Albania,1999,male,5-14 years,0,391300,0.0,Albania1999,,"3,414,760,915",1127,Millenials,1
132,Albania,2000,male,25-34 years,17,232000,7.33,Albania2000,0.656,"3,632,043,908",1299,Generation X,1
133,Albania,2000,male,55-74 years,10,177400,5.64,Albania2000,0.656,"3,632,043,908",1299,Silent,1
134,Albania,2000,female,75+ years,2,37800,5.29,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation,0
135,Albania,2000,male,75+ years,1,24900,4.02,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation,1
136,Albania,2000,female,15-24 years,6,263900,2.27,Albania2000,0.656,"3,632,043,908",1299,Generation X,0
137,Albania,2000,male,15-24 years,5,240000,2.08,Albania2000,0.656,"3,632,043,908",1299,Generation X,1
138,Albania,2000,female,35-54 years,5,332200,1.51,Albania2000,0.656,"3,632,043,908",1299,Boomers,0
139,Albania,2000,female,25-34 years,3,245800,1.22,Albania2000,0.656,"3,632,043,908",1299,Generation X,0
140,Albania,2000,male,35-54 years,4,374700,1.07,Albania2000,0.656,"3,632,043,908",1299,Boomers,1
141,Albania,2000,male,5-14 years,1,374900,0.27,Albania2000,0.656,"3,632,043,908",1299,Millenials,1
142,Albania,2000,female,5-14 years,0,324700,0.0,Albania2000,0.656,"3,632,043,908",1299,Millenials,0
143,Albania,2000,female,55-74 years,0,168000,0.0,Albania2000,0.656,"3,632,043,908",1299,Silent,0
144,Albania,2001,male,25-34 years,22,206484,10.65,Albania2001,,"4,060,758,804",1451,Generation X,1
145,Albania,2001,male,35-54 years,34,378826,8.98,Albania2001,,"4,060,758,804",1451,Boomers,1
146,Albania,2001,male,55-74 years,11,196670,5.59,Albania2001,,"4,060,758,804",1451,Silent,1
147,Albania,2001,female,75+ years,2,47254,4.23,Albania2001,,"4,060,758,804",1451,Silent,0
148,Albania,2001,male,15-24 years,10,256039,3.91,Albania2001,,"4,060,758,804",1451,Millenials,1
149,Albania,2001,female,15-24 years,9,271359,3.32,Albania2001,,"4,060,758,804",1451,Millenials,0
150,Albania,2001,female,35-54 years,12,370191,3.24,Albania2001,,"4,060,758,804",1451,Boomers,0
151,Albania,2001,male,75+ years,1,31044,3.22,Albania2001,,"4,060,758,804",1451,Silent,1
152,Albania,2001,female,55-74 years,6,189799,3.16,Albania2001,,"4,060,758,804",1451,Silent,0
153,Albania,2001,male,5-14 years,6,321556,1.87,Albania2001,,"4,060,758,804",1451,Millenials,1
154,Albania,2001,female,25-34 years,4,222771,1.8,Albania2001,,"4,060,758,804",1451,Generation X,0
155,Albania,2001,female,5-14 years,2,307356,0.65,Albania2001,,"4,060,758,804",1451,Millenials,0
156,Albania,2002,male,75+ years,4,31007,12.9,Albania2002,,"4,435,078,648",1573,Silent,1
157,Albania,2002,male,25-34 years,23,206286,11.15,Albania2002,,"4,435,078,648",1573,Generation X,1
158,Albania,2002,male,35-54 years,35,382139,9.16,Albania2002,,"4,435,078,648",1573,Boomers,1
159,Albania,2002,male,55-74 years,13,198130,6.56,Albania2002,,"4,435,078,648",1573,Silent,1
160,Albania,2002,male,15-24 years,15,263067,5.7,Albania2002,,"4,435,078,648",1573,Millenials,1
161,Albania,2002,female,15-24 years,14,275970,5.07,Albania2002,,"4,435,078,648",1573,Millenials,0
162,Albania,2002,female,35-54 years,15,375113,4.0,Albania2002,,"4,435,078,648",1573,Boomers,0
163,Albania,2002,female,25-34 years,7,223685,3.13,Albania2002,,"4,435,078,648",1573,Generation X,0
164,Albania,2002,female,75+ years,1,47407,2.11,Albania2002,,"4,435,078,648",1573,Silent,0
165,Albania,2002,female,55-74 years,4,191712,2.09,Albania2002,,"4,435,078,648",1573,Silent,0
166,Albania,2002,female,5-14 years,1,304850,0.33,Albania2002,,"4,435,078,648",1573,Millenials,0
167,Albania,2002,male,5-14 years,1,319473,0.31,Albania2002,,"4,435,078,648",1573,Millenials,1
168,Albania,2003,female,75+ years,6,49088,12.22,Albania2003,,"5,746,945,913",2021,Silent,0
169,Albania,2003,male,55-74 years,16,201520,7.94,Albania2003,,"5,746,945,913",2021,Silent,1
170,Albania,2003,male,35-54 years,28,386196,7.25,Albania2003,,"5,746,945,913",2021,Boomers,1
171,Albania,2003,male,15-24 years,15,273235,5.49,Albania2003,,"5,746,945,913",2021,Millenials,1
172,Albania,2003,female,15-24 years,14,283709,4.93,Albania2003,,"5,746,945,913",2021,Millenials,0
173,Albania,2003,female,55-74 years,9,195699,4.6,Albania2003,,"5,746,945,913",2021,Silent,0
174,Albania,2003,male,25-34 years,9,205433,4.38,Albania2003,,"5,746,945,913",2021,Generation X,1
175,Albania,2003,female,25-34 years,9,222941,4.04,Albania2003,,"5,746,945,913",2021,Generation X,0
176,Albania,2003,female,35-54 years,13,381760,3.41,Albania2003,,"5,746,945,913",2021,Boomers,0
177,Albania,2003,male,75+ years,1,32667,3.06,Albania2003,,"5,746,945,913",2021,Silent,1
178,Albania,2003,male,5-14 years,4,313204,1.28,Albania2003,,"5,746,945,913",2021,Millenials,1
179,Albania,2003,female,5-14 years,0,298477,0.0,Albania2003,,"5,746,945,913",2021,Millenials,0
180,Albania,2004,male,75+ years,4,35526,11.26,Albania2004,,"7,314,865,176",2544,Silent,1
181,Albania,2004,male,35-54 years,39,391767,9.95,Albania2004,,"7,314,865,176",2544,Boomers,1
182,Albania,2004,male,25-34 years,16,203938,7.85,Albania2004,,"7,314,865,176",2544,Generation X,1
183,Albania,2004,female,15-24 years,20,292268,6.84,Albania2004,,"7,314,865,176",2544,Millenials,0
184,Albania,2004,male,15-24 years,19,286768,6.63,Albania2004,,"7,314,865,176",2544,Millenials,1
185,Albania,2004,female,75+ years,3,50970,5.89,Albania2004,,"7,314,865,176",2544,Silent,0
186,Albania,2004,female,25-34 years,11,222389,4.95,Albania2004,,"7,314,865,176",2544,Generation X,0
187,Albania,2004,male,55-74 years,10,207202,4.83,Albania2004,,"7,314,865,176",2544,Silent,1
188,Albania,2004,female,35-54 years,17,391436,4.34,Albania2004,,"7,314,865,176",2544,Boomers,0
189,Albania,2004,female,55-74 years,3,203841,1.47,Albania2004,,"7,314,865,176",2544,Silent,0
190,Albania,2004,female,5-14 years,3,286705,1.05,Albania2004,,"7,314,865,176",2544,Millenials,0
191,Albania,2004,male,5-14 years,1,302181,0.33,Albania2004,,"7,314,865,176",2544,Millenials,1
192,Albania,2005,female,15-24 years,0,281922,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0
193,Albania,2005,female,25-34 years,0,190745,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X,0
194,Albania,2005,female,35-54 years,0,386513,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers,0
195,Albania,2005,female,5-14 years,0,276559,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0
196,Albania,2005,female,55-74 years,0,210998,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0
197,Albania,2005,female,75+ years,0,53191,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0
198,Albania,2005,male,15-24 years,0,281675,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,1
199,Albania,2005,male,25-34 years,0,177519,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X,1
200,Albania,2005,male,35-54 years,0,380242,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers,1
201,Albania,2005,male,5-14 years,0,291367,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,1
202,Albania,2005,male,55-74 years,0,214118,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,1
203,Albania,2005,male,75+ years,0,38471,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,1
204,Albania,2006,female,15-24 years,0,283138,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0
205,Albania,2006,female,25-34 years,0,186391,0.0,Albania2006,,"8,992,642,349",3235,Generation X,0
206,Albania,2006,female,35-54 years,0,388746,0.0,Albania2006,,"8,992,642,349",3235,Boomers,0
207,Albania,2006,female,5-14 years,0,267316,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0
208,Albania,2006,female,55-74 years,0,215907,0.0,Albania2006,,"8,992,642,349",3235,Silent,0
209,Albania,2006,female,75+ years,0,56011,0.0,Albania2006,,"8,992,642,349",3235,Silent,0
210,Albania,2006,male,15-24 years,0,286679,0.0,Albania2006,,"8,992,642,349",3235,Millenials,1
211,Albania,2006,male,25-34 years,0,174092,0.0,Albania2006,,"8,992,642,349",3235,Generation X,1
212,Albania,2006,male,35-54 years,0,379076,0.0,Albania2006,,"8,992,642,349",3235,Boomers,1
213,Albania,2006,male,5-14 years,0,282678,0.0,Albania2006,,"8,992,642,349",3235,Millenials,1
214,Albania,2006,male,55-74 years,0,219360,0.0,Albania2006,,"8,992,642,349",3235,Silent,1
215,Albania,2006,male,75+ years,0,40782,0.0,Albania2006,,"8,992,642,349",3235,Silent,1
216,Albania,2007,male,75+ years,8,42366,18.88,Albania2007,,"10,701,011,897",3863,Silent,1
217,Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,,"10,701,011,897",3863,Boomers,1
218,Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,,"10,701,011,897",3863,Silent,1
219,Albania,2007,female,75+ years,3,57404,5.23,Albania2007,,"10,701,011,897",3863,Silent,0
220,Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,,"10,701,011,897",3863,Generation X,1
221,Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,,"10,701,011,897",3863,Millenials,0
222,Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,,"10,701,011,897",3863,Millenials,1
223,Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,,"10,701,011,897",3863,Generation X,0
224,Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent,0
225,Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,,"10,701,011,897",3863,Boomers,0
226,Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,,"10,701,011,897",3863,Generation Z,1
227,Albania,2007,female,5-14 years,0,256808,0.0,Albania2007,,"10,701,011,897",3863,Generation Z,0
228,Albania,2008,male,25-34 years,21,172855,12.15,Albania2008,,"12,881,352,688",4672,Generation X,1
229,Albania,2008,male,35-54 years,37,377119,9.81,Albania2008,,"12,881,352,688",4672,Boomers,1
230,Albania,2008,male,55-74 years,21,228672,9.18,Albania2008,,"12,881,352,688",4672,Silent,1
231,Albania,2008,female,75+ years,5,59369,8.42,Albania2008,,"12,881,352,688",4672,Silent,0
232,Albania,2008,female,15-24 years,20,276073,7.24,Albania2008,,"12,881,352,688",4672,Millenials,0
233,Albania,2008,female,25-34 years,9,182663,4.93,Albania2008,,"12,881,352,688",4672,Generation X,0
234,Albania,2008,female,35-54 years,19,393832,4.82,Albania2008,,"12,881,352,688",4672,Boomers,0
235,Albania,2008,male,75+ years,2,44574,4.49,Albania2008,,"12,881,352,688",4672,Silent,1
236,Albania,2008,male,15-24 years,11,286702,3.84,Albania2008,,"12,881,352,688",4672,Millenials,1
237,Albania,2008,female,55-74 years,7,226448,3.09,Albania2008,,"12,881,352,688",4672,Silent,0
238,Albania,2008,male,5-14 years,7,262464,2.67,Albania2008,,"12,881,352,688",4672,Generation Z,1
239,Albania,2008,female,5-14 years,1,246288,0.41,Albania2008,,"12,881,352,688",4672,Generation Z,0
240,Albania,2009,female,15-24 years,0,270003,0.0,Albania2009,,"12,044,212,904",4387,Millenials,0
241,Albania,2009,female,25-34 years,0,182712,0.0,Albania2009,,"12,044,212,904",4387,Generation X,0
242,Albania,2009,female,35-54 years,0,394286,0.0,Albania2009,,"12,044,212,904",4387,Boomers,0
243,Albania,2009,female,5-14 years,0,236174,0.0,Albania2009,,"12,044,212,904",4387,Generation Z,0
244,Albania,2009,female,55-74 years,0,233302,0.0,Albania2009,,"12,044,212,904",4387,Silent,0
245,Albania,2009,female,75+ years,0,61582,0.0,Albania2009,,"12,044,212,904",4387,Silent,0
246,Albania,2009,male,15-24 years,0,283448,0.0,Albania2009,,"12,044,212,904",4387,Millenials,1
247,Albania,2009,male,25-34 years,0,174955,0.0,Albania2009,,"12,044,212,904",4387,Generation X,1
248,Albania,2009,male,35-54 years,0,374365,0.0,Albania2009,,"12,044,212,904",4387,Boomers,1
249,Albania,2009,male,5-14 years,0,253007,0.0,Albania2009,,"12,044,212,904",4387,Generation Z,1
250,Albania,2009,male,55-74 years,0,234570,0.0,Albania2009,,"12,044,212,904",4387,Silent,1
251,Albania,2009,male,75+ years,0,47331,0.0,Albania2009,,"12,044,212,904",4387,Silent,1
252,Albania,2010,male,55-74 years,20,241852,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent,1
253,Albania,2010,male,35-54 years,20,371611,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X,1
254,Albania,2010,male,25-34 years,9,179720,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X,1
255,Albania,2010,male,75+ years,2,50767,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent,1
256,Albania,2010,male,15-24 years,10,279508,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials,1
257,Albania,2010,female,25-34 years,6,183579,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X,0
258,Albania,2010,female,75+ years,2,64415,3.1,Albania2010,0.722,"11,926,953,259",4359,Silent,0
259,Albania,2010,female,35-54 years,12,394593,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X,0
260,Albania,2010,female,55-74 years,7,241491,2.9,Albania2010,0.722,"11,926,953,259",4359,Silent,0
261,Albania,2010,female,15-24 years,6,263581,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials,0
262,Albania,2010,female,5-14 years,2,223969,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z,0
263,Albania,2010,male,5-14 years,0,240939,0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z,1
1786,Austria,1985,male,75+ years,152,156535,97.1,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation,1
